PC,eigenvalue,explained_variance_ratio
PC456,1.560644071811806,0.0007803220359059029
PC457,1.5577951384409334,0.0007788975692204666
PC458,1.5552534471586608,0.0007776267235793303
PC459,1.5541695766533012,0.0007770847883266505
PC460,1.5505276261141416,0.0007752638130570708
PC461,1.5494688918400186,0.0007747344459200092
PC462,1.5456413753777882,0.000772820687688894
PC463,1.544061185635376,0.000772030592817688
PC464,1.540460446688798,0.0007702302233443989
PC465,1.5387935508067307,0.0007693967754033653
PC466,1.5370041675741897,0.0007685020837870948
PC467,1.5336624449192449,0.0007668312224596224
PC468,1.5319831741089598,0.0007659915870544798
PC469,1.5287923391408254,0.0007643961695704126
PC470,1.5283258465654985,0.0007641629232827492
PC471,1.5250018486756205,0.0007625009243378101
PC472,1.522099627661653,0.0007610498138308264
PC473,1.5198132513866198,0.0007599066256933099
PC474,1.5177469131717491,0.0007588734565858744
PC475,1.5149667839981464,0.0007574833919990732
PC476,1.5140940167175434,0.0007570470083587716
PC477,1.5106965625030107,0.0007553482812515052
PC478,1.5090678102245854,0.0007545339051122926
PC479,1.506680812741377,0.0007533404063706884
PC480,1.5028749336900484,0.0007514374668450241
PC481,1.5025155945535504,0.0007512577972767752
PC482,1.5002135525908724,0.0007501067762954361
PC483,1.494602817098944,0.0007473014085494719
PC484,1.492255332503733,0.0007461276662518665
PC485,1.4911350207433072,0.0007455675103716535
PC486,1.490972251331903,0.0007454861256659515
PC487,1.4900017544635482,0.000745000877231774
PC488,1.4860050446519935,0.0007430025223259967
PC489,1.4834824408617149,0.0007417412204308573
PC490,1.4810927684746478,0.0007405463842373238
PC491,1.4798884698517933,0.0007399442349258966
PC492,1.4782001484315475,0.0007391000742157736
PC493,1.4748832460023318,0.0007374416230011658
PC494,1.4716296005897624,0.0007358148002948811
PC495,1.4701569069801939,0.0007350784534900968
PC496,1.4672459597771255,0.0007336229798885626
PC497,1.4640323143790952,0.0007320161571895476
PC498,1.4632622254135281,0.000731631112706764
PC499,1.4594502752391834,0.0007297251376195916
PC500,1.4581641959713552,0.0007290820979856774
PC501,1.455724676003,0.0007278623380015
PC502,1.4542196381853678,0.0007271098190926839
PC503,1.4523328172693126,0.0007261664086346563
PC504,1.4490395415225257,0.0007245197707612627
PC505,1.446932495162243,0.0007234662475811215
PC506,1.4447397846196788,0.0007223698923098393
PC507,1.4421511027359515,0.0007210755513679756
PC508,1.4413746374702054,0.0007206873187351027
PC509,1.4381735905367627,0.0007190867952683813
PC510,1.4373600907799167,0.0007186800453899583
PC511,1.4343707121831446,0.0007171853560915722
PC512,1.4307446513625013,0.0007153723256812506
PC513,1.4290118620240266,0.0007145059310120132
PC514,1.426923856455642,0.0007134619282278209
PC515,1.4242172932816302,0.000712108646640815
PC516,1.42221065117133,0.0007111053255856649
PC517,1.4202153605479604,0.0007101076802739801
PC518,1.416713117873149,0.0007083565589365744
PC519,1.4150799906880993,0.0007075399953440496
PC520,1.4131718253814407,0.0007065859126907202
PC521,1.4115910472648363,0.0007057955236324181
PC522,1.40866000272497,0.000704330001362485
PC523,1.4070129233077333,0.0007035064616538666
PC524,1.4052070106892087,0.0007026035053446043
PC525,1.4011450972144865,0.0007005725486072432
PC526,1.400138584362425,0.0007000692921812124
PC527,1.3976563148537613,0.0006988281574268805
PC528,1.396613645243709,0.0006983068226218544
PC529,1.3944120483911984,0.0006972060241955991
PC530,1.3934023292434563,0.0006967011646217281
PC531,1.3911938768277707,0.0006955969384138853
PC532,1.3909643328668722,0.000695482166433436
PC533,1.3856635571666946,0.0006928317785833473
PC534,1.3849352814151097,0.0006924676407075547
PC535,1.3806063581893495,0.0006903031790946747
PC536,1.3773188865202848,0.0006886594432601423
PC537,1.37634033864153,0.000688170169320765
PC538,1.3731055169483461,0.000686552758474173
PC539,1.3718758320355597,0.0006859379160177798
PC540,1.3711621228251092,0.0006855810614125545
PC541,1.369571396220226,0.0006847856981101129
PC542,1.3667141261074596,0.0006833570630537297
PC543,1.3644270954668472,0.0006822135477334235
PC544,1.3625950446316177,0.0006812975223158087
PC545,1.3606254988783255,0.0006803127494391627
PC546,1.358655344043018,0.0006793276720215089
PC547,1.3553820490314226,0.0006776910245157112
PC548,1.352855218027935,0.0006764276090139674
PC549,1.3523765401039527,0.0006761882700519763
PC550,1.3509437348211524,0.0006754718674105761
PC551,1.3487051050591063,0.0006743525525295531
PC552,1.3463208339547965,0.0006731604169773982
PC553,1.345365157011311,0.0006726825785056555
PC554,1.342844755503676,0.0006714223777518379
PC555,1.339012113452125,0.0006695060567260624
PC556,1.3363400011548108,0.0006681700005774054
PC557,1.3353173255869717,0.0006676586627934858
PC558,1.3328223757943538,0.0006664111878971769
PC559,1.3304702102822619,0.0006652351051411309
PC560,1.3291533971027503,0.0006645766985513751
PC561,1.327968138223862,0.0006639840691119309
PC562,1.3255173949469494,0.0006627586974734746
PC563,1.3239171393293956,0.0006619585696646977
PC564,1.3197050984627379,0.0006598525492313689
PC565,1.319027294526048,0.0006595136472630239
PC566,1.315935976275568,0.0006579679881377839
PC567,1.3124093894252953,0.0006562046947126476
PC568,1.31184207287056,0.0006559210364352799
PC569,1.3094199841081346,0.0006547099920540672
PC570,1.3053481363876924,0.0006526740681938462
PC571,1.3022517561236966,0.0006511258780618482
PC572,1.3009391541102284,0.0006504695770551142
PC573,1.3006978578673916,0.0006503489289336957
PC574,1.298815383784822,0.0006494076918924109
PC575,1.2980725187475968,0.0006490362593737983
PC576,1.2959511811643194,0.0006479755905821596
PC577,1.289942532198974,0.0006449712660994869
PC578,1.2889599398744265,0.0006444799699372131
PC579,1.2870580889901415,0.0006435290444950707
PC580,1.2846332448827054,0.0006423166224413526
PC581,1.2832210321037325,0.0006416105160518662
PC582,1.2796652618466384,0.0006398326309233191
PC583,1.2782022692925836,0.0006391011346462917
PC584,1.2769511006203795,0.0006384755503101897
PC585,1.27557579152646,0.00063778789576323
PC586,1.2735912735043837,0.0006367956367521918
PC587,1.2713046037776567,0.0006356523018888283
PC588,1.2697172935849284,0.0006348586467924641
PC589,1.2676186436210568,0.0006338093218105284
PC590,1.2658930971258908,0.0006329465485629453
PC591,1.2643314020915166,0.0006321657010457582
PC592,1.263412514984576,0.000631706257492288
PC593,1.2609387663912577,0.0006304693831956288
PC594,1.257715909054629,0.0006288579545273144
PC595,1.2548065068680407,0.0006274032534340203
PC596,1.2526922736468014,0.0006263461368234007
PC597,1.251597842447975,0.0006257989212239874
PC598,1.2489767715759814,0.0006244883857879906
PC599,1.2465376344567973,0.0006232688172283986
PC600,1.2458522146311706,0.0006229261073155852
PC601,1.2451878180145273,0.0006225939090072635
PC602,1.2429044618585205,0.0006214522309292602
PC603,1.2427580109530456,0.0006213790054765227
PC604,1.2388570615393548,0.0006194285307696773
PC605,1.2359882314009718,0.0006179941157004858
PC606,1.234640556823949,0.0006173202784119743
PC607,1.2329282122917449,0.0006164641061458724
PC608,1.2304735133243423,0.0006152367566621711
PC609,1.2282990166369483,0.000614149508318474
PC610,1.2266074041795665,0.0006133037020897832
PC611,1.2259072608572235,0.0006129536304286116
PC612,1.225529934789155,0.0006127649673945774
PC613,1.221947927394851,0.0006109739636974255
PC614,1.219572930437967,0.0006097864652189834
PC615,1.2179448138202538,0.0006089724069101268
PC616,1.21699708270823,0.0006084985413541149
PC617,1.2152153550914424,0.0006076076775457212
PC618,1.2122643197064065,0.0006061321598532032
